FIPCO,TotPop
"5-DIGIT COUNTY FIPS CD" ,"Total Persons"
29141,15574
29143,20928
29145,44445
29147,21709
29149,9470
29151,12018
29153,8598
29155,21921
29157,16648
29159,35437
29161,35248
29163,15969
29165,57867
29167,21826
29169,41307
29171,5079
29173,8476
29175,24370
29177,21971
29179,6661
29181,12303
29183,212907
29185,8457
29186,16037
29187,48904
29189,993529
29195,23523
29197,4236
29199,4822
29201,39376
29203,7613
29205,6942
29207,28895
29209,19078
29211,6326
29213,25561
29215,21476
29217,19041
29219,19534
29221,20380
29223,11543
29225,23753
29227,2440
29229,16758
29510,396685
30001,8424
30003,11337
30005,6728
30007,3318
30009,8080
30011,1503
30013,77691
30015,5452
30017,11697
30019,2266
30021,9505
30023,10278
30025,3103
30027,12083
30029,59218
30031,50463
30033,1589
30035,12121
30037,912
30039,2548
30041,17654
30043,7939
30045,2282
30047,21041
30049,47495
30051,2295
30053,17481
30055,2276
30057,5989
30059,1819
30061,3315
30063,78687
30065,4106
30067,14562
30069,519
30071,5163
30073,6433
30075,2090
30077,6620
30079,1383
30081,25010
30083,10716
30085,10999
30087,10505
30089,8669
30091,4732
30093,33941
30095,6536
30097,3154
30099,6271
30101,5046
30103,874
30105,8239
30107,2246
30109,1191
30111,113419
30113,52
31001,29625
31003,7965
31005,462
31007,852
31009,675
31011,6667
31013,13130
31015,2835
31017,3657
31019,37447
31021,7868
31023,8601
31025,21318
31027,10131
31029,4381
31031,6307
31033,9494
31035,7123
31037,9139
31039,10117
31041,12270
31043,16742
31045,9021
31047,19940
31049,2237
31051,6143
31053,34500
31055,416444
31057,2582
31059,7103
31061,3938
31063,3101
31065,5553
31067,22794
31069,2460
31071,2141
31073,1928
31075,769
31077,3006
31079,48925
31081,8862
31083,3810
31085,1222
31087,3750
31089,12599
31091,793
31093,6055
31095,8759
31097,4673
31099,6629
31101,8584
31103,1029
31105,4108
31107,9534
31109,213641
31111,32508
31113,878
31115,683
31117,546
31119,32655
31121,8042
31123,5423
31125,4275
31127,7980
31129,5786
31131,14252
31133,3317
31135,3367
31137,9715
31139,7827
31141,29820
31143,5675
31145,11705
31147,9937
31149,2019
31151,12715
31153,102583
31155,18285
31157,36025
31159,15450
31161,6750
31163,3718
31165,1549
31167,6244
31169,6635
31171,851
31173,6936
31175,5169
31177,16607
31179,9364
31181,4279
31183,948
31185,14428
32001,17938
32003,741459
32005,27637
32007,33530
32009,1344
32011,1547
32013,12844
32015,6266
32017,3775
32019,20001
32021,6475
32023,17781
32027,4336
32029,2526
32031,254667
32033,9264
32510,40443
33001,49216
33003,35410
33005,70121
33007,34828
33009,74929
33011,336073
33013,120005
33015,245845
33017,104233
33019,38592
34001,224327
34003,825380
34005,395066
34007,502824
34009,95089
34011,138053
34013,778206
34015,230082
34017,553099
34019,107776
34021,325824
34023,671780
34025,553124
34027,421353
34029,433203
34031,453060
34033,65294
34035,240279
34037,130943
34039,493819
34041,91607
35001,480577
35003,2563
35005,57849
35006,23794
35007,12925
35009,42207
35011,2252
35013,135510
35015,48605
35017,27676
35019,4156
35021,987
35023,5958
35025,55765
35027,12219
35028,18115
35029,18110
35031,60686
35033,4264
35035,51928
35037,10823
35039,34365
35041,16702
35043,63319
35045,91605
35047,25743
35049,98928
35051,9912
35053,14764
35055,23118
35057,10285
35059,4124
35061,45235
36001,292594
36003,50470
36005,1203789
36007,212160
36009,84234
36011,82313
36013,141895
36015,95195
36017,51768
36019,85969
36021,62982
36023,48963
36025,47225
36027,259462
36029,968532
36031,37152
36033,46540
36035,54191
36037,60060
36039,44739
36041,5279
36043,65797
36045,110943
36047,2300664
36049,26796
36051,62372
36053,69120
36055,713968
36057,51981
36059,1287348
36061,1487536
36063,220756
36065,250836
36067,468973
36069,95101
36071,307647
36073,41846
36075,121771
36077,60517
36079,83941
36081,1951598
36083,154429
36085,378977
36087,265475
36089,111974
36091,181276
36093,149285
36095,31859
36097,18662
36099,33683
36101,99088
36103,1321864
36105,69277
36107,52337
36109,94097
36111,165304
36113,59209
36115,59330
36117,89123
36119,874866
36121,42507
36123,22810
37001,108213
37003,27544
37005,9590
37007,23474
37009,22209
37011,14867
37013,42283
37015,20388
37017,28663
37019,50985
37021,174821
37023,75744
